Rk,Player,badcol,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
351,Paul Millsap,millspa01,PF,33,DEN,70,65,1895,6.1,12.6,0.484,1.1,3,0.365,5,9.6,0.522,3.4,4.7,0.727,2.9,6.7,9.6,2.7,1.6,1,1.8,3.5,16.8
352,Shake Milton,miltosh01,SG,22,PHI,20,0,268,4.6,11.7,0.391,1.9,5.9,0.318,2.7,5.8,0.465,0.7,0.9,0.714,1.2,3.5,4.7,2.4,1.1,1.1,0.8,3.9,11.7
353,Nikola Mirotic,mirotni01,PF,27,TOT,46,25,1245,6.9,15.7,0.439,3.4,9.2,0.365,3.5,6.5,0.545,3,3.6,0.847,1.7,8.1,9.8,1.6,0.9,1,1.4,3.1,20.2
354,Donovan Mitchell,mitchdo01,SG,22,UTA,77,77,2598,9.2,21.2,0.432,2.6,7.2,0.362,6.6,14,0.468,4.4,5.5,0.806,0.8,3.6,4.4,4.5,1.5,0.4,3,2.9,25.3
355,Naz Mitrou-Long,mitrona01,SG,25,UTA,14,0,84,2.6,8.6,0.3,0.9,4.7,0.182,1.7,3.9,0.444,0.9,0.9,1,0.4,2.1,2.6,6.4,0.4,0.4,3.4,4.3,6.9
356,Malik Monk,monkma01,SG,20,CHO,73,0,1258,6.5,16.8,0.387,3.1,9.4,0.33,3.4,7.3,0.461,2.6,2.9,0.882,0.5,3.5,3.9,3.3,1.1,0.5,2.5,3,18.7
357,Greg Monroe,monrogr01,C,28,TOT,43,2,480,6.9,14.2,0.487,0.1,0.4,0.2,6.8,13.8,0.495,3.4,5.4,0.625,5,7.9,12.9,1.8,1,0.6,2.4,5,17.2
358,E'Twaun Moore,mooreet01,SG,29,NOP,53,36,1463,6.3,13.1,0.481,1.9,4.3,0.432,4.4,8.8,0.506,1.1,1.5,0.763,0.9,2.3,3.1,2.5,1,0.2,1.5,2.8,15.6
359,Eric Moreland,moreler01,PF,27,TOT,5,0,43,2.5,5.9,0.429,0.8,0.8,1,1.7,5,0.333,0,0,,3.3,13.4,16.7,3.3,0.8,0.8,4.2,7.5,5.9
360,Jaylen Morris,morrija01,SG,23,MIL,4,0,29,5,12.4,0.4,1.2,3.7,0.333,3.7,8.7,0.429,1.2,2.5,0.5,0,6.2,6.2,5,2.5,0,1.2,1.2,12.4
361,Marcus Morris,morrima03,PF,29,BOS,75,53,2091,6.5,14.5,0.447,2.5,6.7,0.375,4,7.8,0.508,2.5,3,0.844,1.3,6.6,7.9,1.9,0.7,0.4,1.6,3.1,18
362,Markieff Morris,morrima02,PF,29,TOT,58,16,1270,5.8,13.7,0.421,1.9,5.8,0.335,3.9,8,0.484,2,2.6,0.772,1.7,5.8,7.5,2.2,1,0.6,1.5,5,15.5
363,Monte Morris,morrimo01,PG,23,DEN,82,6,1970,6.3,12.8,0.493,1.7,4.1,0.414,4.6,8.7,0.531,1.2,1.5,0.802,0.6,2.9,3.5,5.4,1.3,0.1,1,1.9,15.6
364,Donatas Motiej?nas,motiedo01,PF,28,SAS,3,0,13,8.3,16.6,0.5,0,0,,8.3,16.6,0.5,0,5.5,0,5.5,2.8,8.3,2.8,0,2.8,8.3,16.6,16.6
365,Johnathan Motley,motlejo01,PF,23,LAC,22,0,156,9,16.8,0.534,0,0.7,0,9,16.2,0.557,5.5,9.2,0.6,4.2,7.6,11.8,2.5,1.2,0.7,3.7,6.2,23.5
366,Emmanuel Mudiay,mudiaem01,PG,22,NYK,59,42,1607,7.4,16.6,0.446,1.5,4.7,0.329,5.8,11.9,0.492,3.2,4.2,0.774,0.7,3.7,4.4,5.1,1,0.4,3.1,2.3,19.6
367,Jamal Murray,murraja01,PG,21,DEN,75,74,2447,7.5,17.3,0.437,2.2,6.1,0.367,5.3,11.2,0.476,2.8,3.3,0.848,1,3.7,4.7,5.3,1,0.4,2.3,2.3,20.1
368,Džanan Musa,musadz01,SG,19,BRK,9,0,39,8.3,20.3,0.409,0.9,9.2,0.1,7.4,11.1,0.667,0,1.8,0,0.9,3.7,4.6,1.8,1.8,0,3.7,0.9,17.5
369,Mike Muscala,muscami01,PF,27,TOT,64,10,1306,4,10,0.402,2.5,7.1,0.348,1.5,2.9,0.533,1.9,2.3,0.824,1.6,5.2,6.7,2.1,0.6,1,1.3,3.6,12.4
370,Sviatoslav Mykhailiuk,mykhasv01,SF,21,TOT,42,0,440,3.8,11.5,0.329,2.4,7.3,0.326,1.4,4.2,0.333,1,1.6,0.6,0.7,2.2,2.9,3,1.1,0.1,1.7,2,10.9
371,Abdel Nader,naderab01,SF,25,OKC,61,1,694,4.7,11.2,0.423,1.7,5.2,0.32,3.1,6,0.513,1.4,1.9,0.75,0.7,5.3,6,1,1,0.6,1.3,3.5,12.5
372,Larry Nance Jr.,nancela02,C,26,CLE,67,30,1795,5,9.6,0.52,0.7,2,0.337,4.3,7.6,0.567,1.9,2.7,0.716,3.4,7.7,11.1,4.3,2,0.8,1.9,3.9,12.6
373,Shabazz Napier,napiesh01,PG,27,BRK,56,2,983,6.2,15.9,0.389,2.8,8.3,0.333,3.4,7.6,0.449,4.2,5.1,0.833,0.7,3,3.7,5.2,1.5,0.6,2.4,2.5,19.4
374,Raul Neto,netora01,PG,26,UTA,37,1,474,5.6,12.2,0.46,1.5,4.6,0.333,4.1,7.7,0.535,2.1,2.5,0.848,0.5,4.3,4.7,7.1,1.1,0.3,2.7,3.7,14.9
375,Georges Niang,niangge01,PF,25,UTA,59,0,516,6,12.6,0.475,3,7.3,0.41,3,5.3,0.566,1.4,1.7,0.833,0.8,5.3,6.1,2.4,0.7,0.4,1.6,4,16.4
376,Joakim Noah,noahjo01,C,33,MEM,42,1,693,5.7,11.1,0.516,0,0.1,0,5.7,11,0.519,4.1,5.7,0.716,3,9.4,12.4,4.6,1,1.6,2.6,5,15.5
